title,description,release_year,genres_list,rating,votes,directors,actors,runtime_minutes
The Fencer,"A young man, Endel Nelis, arrives in Haapsalu, Estonia, in the early 1950s. Having left Leningrad to escape the secret police, he finds work as a teacher and founds a sports club for his students. Endel becomes a father figure to his students and starts teaching them his great passion – fencing, which causes a conflict with the school’s principal. Envious, the principal starts investigating Endel’s background. Endel learns to love the children and looks after them; most are orphans as a result of the Russian occupation. Fencing becomes a form of self-expression for the children and Endel becomes a role model. The children want to participate in a national fencing tournament in Leningrad, and Endel must make a choice: risk everything to take the children to Leningrad or put his safety first and disappoint them.",2017.0,"['Biography', 'Drama', 'History', 'Sport']",7.5,4,Klaus Härö,"['Märt Avandi', 'Ursula Ratasepp', 'Hendrik Toompere', 'Liisa Koppel', 'Joonas Koff']",99 minutes
Electrick Children,"Can one become pregnant by listening to rock music?  Rachel, a young teenager from a fundamentalist Mormon community, believes in immaculate conception by music, but her religious family regards her new condition as an intolerable transgression, so she heads to Las Vegas to find the source of her mysterious pregnancy.",2013.0,['Drama'],7.3,8,Rebecca Thomas,"['Julia Garner', 'Rory Culkin', 'Liam Aiken', 'Bill Sage', 'Cynthia Watros']",96 minutes
Pilgrimage,"Ireland, 1209. A small group of monks begin a reluctant pilgrimage across an island torn between centuries of tribal warfare and the growing power of Norman invaders.  As they escort their monastery’s holiest relic to Rome, the true value of the bejeweled relic becomes dangerously apparent and their path becomes increasingly fraught with danger.",2017.0,"['Action', 'Drama', 'History']",7.3,10,Brendan Muldowney,"['Tom Holland', 'Richard Armitage', 'Jon Bernthal', 'Stanley Weber', 'John Lynch']",96 minutes
Gifted,Frank Adler (Chris Evans) is a single man raising a child prodigy – his spirited young niece Mary (Mckenna Grace) – in a coastal town in Florida. Frank’s plans for a normal school life for Mary are foiled when the seven-year-old’s mathematical abilities come to the attention of Frank’s formidable mother Evelyn (Lindsay Duncan) whose plans for her granddaughter threaten to separate Frank and Mary.,2017.0,['Drama'],7.5,166,Marc Webb,"['Chris Evans', 'Mckenna Grace', 'Lindsay Duncan', 'Jenny Slate', 'Octavia Spencer']",101 minutes
Lone Survivor,"On June 28, 2005 mission ""Operation Red Wing"" tasked four members of SEAL Team 10 to capture or kill notorious Taliban leader, Ahmad Shahd.  Only one member of the team survived.",2013.0,"['Action', 'Biography', 'Drama', 'War']",7.4,407,Peter Berg,"['Mark Wahlberg', 'Taylor Kitsch', 'Emile Hirsch', 'Ben Foster', 'Eric Bana']",121 minutes
Bandits,"When the suave, irresistible Joe (Willis), and his hypochondriac partner Terry (Thornton) escape from prison, they cut a swath from Oregon through California, robbing banks in order to finance their scheme for a new and somewhat legitimate life south of the border.  (MGM)",2001.0,"['Comedy', 'Crime', 'Drama', 'Romance']",7.6,88,Barry Levinson,"['Bruce Willis', 'Billy Bob Thornton', 'Cate Blanchett', 'Troy Garity', 'William Converse-Roberts']",123 minutes
Bandits,"When the suave, irresistible Joe (Willis), and his hypochondriac partner Terry (Thornton) escape from prison, they cut a swath from Oregon through California, robbing banks in order to finance their scheme for a new and somewhat legitimate life south of the border.  (MGM)",2001.0,"['Comedy', 'Crime', 'Drama', 'Romance']",7.6,88,Barry Levinson,"['Bruce Willis', 'Billy Bob Thornton', 'Cate Blanchett', 'Troy Garity', 'William Converse-Roberts']",123 minutes
Treasure Planet,Robert Louis Stevenson's Treasure Planet gets a futuristic twist in this amazing tale of a brave young man's thrilling journey to new frontiers aboard a flying ship.,2002.0,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",8.1,236,"Ron Clements, 
    
      John Musker","['Joseph Gordon-Levitt', 'Brian Murray', 'Emma Thompson', 'David Hyde Pierce', 'Martin Short']",95 minutes
Mortal Kombat,"In Mortal Kombat, MMA fighter Cole Young, accustomed to taking a beating for money, is unaware of his heritage—or why Outworld's Emperor Shang Tsung has sent his best warrior, Sub-Zero, an otherworldly Cryomancer, to hunt Cole down.  Fearing for his family's safety, Cole goes in search of Sonya Blade at the direction of Jax, a Special Forces Major who bears the same strange dragon marking Cole was born with.  Soon, he finds himself at the temple of Lord Raiden, an Elder God and the protector of Earthrealm, who grants sanctuary to those who bear the mark.  Here, Cole trains with experienced warriors Liu Kang, Kung Lao and rogue mercenary Kano, as he prepares to stand with Earth’s greatest champions against the enemies of Outworld in a high stakes battle for the universe.  But will Cole be pushed hard enough to unlock his arcana—the immense power from within his soul—in time to save not only his family, but to stop Outworld once and for all?",2021.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",7.9,403,Paul W.S. Anderson,"['Lewis Tan', 'Jessica McNamee', 'Mehcad Brooks', 'Josh Lawson', 'Ludi Lin']",101 minutes
Mortal Kombat,"In Mortal Kombat, MMA fighter Cole Young, accustomed to taking a beating for money, is unaware of his heritage—or why Outworld's Emperor Shang Tsung has sent his best warrior, Sub-Zero, an otherworldly Cryomancer, to hunt Cole down.  Fearing for his family's safety, Cole goes in search of Sonya Blade at the direction of Jax, a Special Forces Major who bears the same strange dragon marking Cole was born with.  Soon, he finds himself at the temple of Lord Raiden, an Elder God and the protector of Earthrealm, who grants sanctuary to those who bear the mark.  Here, Cole trains with experienced warriors Liu Kang, Kung Lao and rogue mercenary Kano, as he prepares to stand with Earth’s greatest champions against the enemies of Outworld in a high stakes battle for the universe.  But will Cole be pushed hard enough to unlock his arcana—the immense power from within his soul—in time to save not only his family, but to stop Outworld once and for all?",2021.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",7.9,403,Paul W.S. Anderson,"['Lewis Tan', 'Jessica McNamee', 'Mehcad Brooks', 'Josh Lawson', 'Ludi Lin']",101 minutes
Middle Men,"Chronicles Jack Harris, one of the pioneers of internet commerce, as he wrestles with his morals and struggles not to drown in a sea of conmen, mobsters, drug addicts, and pornstars.",2010.0,"['Comedy', 'Crime', 'Drama']",7.7,58,George Gallo,"['Luke Wilson', 'Giovanni Ribisi', 'Gabriel Macht', 'James Caan', 'Jacinda Barrett']",105 minutes
Hateship Loveship,"Johanna Parry (Kristen Wiig), a quiet caregiver, starts a new job working for an elderly Mr. McCauley (Nick Nolte) and his teenage granddaughter Sabitha (Hailee Steinfeld). A cruel trick by Sabitha lands Johanna in an awkward one-way relationship with Ken (Guy Pearce), Sabitha's estranged father but her newfound ambition and desire gives her courage to transform her awkward doom into real contentment.",2014.0,"['Drama', 'Romance']",7.3,15,Liza Johnson,"['Kristen Wiig', 'Guy Pearce', 'Hailee Steinfeld', 'Jennifer Jason Leigh', 'Sami Gayle']",104 minutes
