title,description,release_year,genres_list,rating,votes,directors,actors,runtime_minutes
Bad Boys II,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus’ sexy sister.",2003.0,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",6.3,1564.0,Michael Bay,Martin Lawrence Will Smith Jordi Moll\u00e0 Gabrielle Union Peter Stormare,147 minutes
Unstoppable,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania, and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster.",2010.0,"['Action', 'Thriller']",6.3,1165.0,Tony Scott,Denzel Washington Chris Pine Rosario Dawson Ethan Suplee Kevin Corrigan,98 minutes
The Imaginarium of Doctor Parnassus,A traveling theater company gives its audience much more than they were expecting.,2009.0,"['Adventure', 'Fantasy', 'Mystery']",6.3,869.0,Terry Gilliam,Christopher Plummer Heath Ledger Johnny Depp Jude Law Colin Farrell,123 minutes
Just Go with It,"A plastic surgeon, romancing a much younger schoolteacher, enlists his loyal assistant to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, the assistant's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.",2011.0,"['Romance', 'Comedy']",6.3,1543.0,Dennis Dugan,Adam Sandler Jennifer Aniston Nicole Kidman Nick Swardson Brooklyn Decker,117 minutes
Monster House,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",2006.0,"['Animation', 'Comedy', 'Family', 'Fantasy']",6.3,874.0,Gil Kenan,Ryan Newman Steve Buscemi Mitchel Musso Sam Lerner Spencer Locke,91 minutes
Over the Hedge,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating – and learns a lesson about family himself.",2006.0,"['Comedy', 'Animation', 'Family']",6.3,1074.0,Karey Kirkpatrick,Bruce Willis Garry Shandling Steve Carell Wanda Sykes William Shatner,83 minutes
Oculus,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,2013.0,['Horror'],6.3,1050.0,Mike Flanagan,Karen Gillan Brenton Thwaites Katee Sackhoff James Lafferty Rory Cochrane,104 minutes
Safe House,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",2012.0,"['Action', 'Thriller']",6.3,1345.0,Daniel Espinosa,Denzel Washington Ryan Reynolds Vera Farmiga Joel Kinnaman Brendan Gleeson,115 minutes
Diamonds Are Forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,1971.0,"['Adventure', 'Action', 'Thriller']",6.3,553.0,Guy Hamilton,Sean Connery Jill St. John Charles Gray Lana Wood Jimmy Dean,120 minutes
Silent Hill,"The eerie and deserted ghost town of Silent Hill draws a young mother desperate to find a cure for her only child's illness. Unable to accept the doctor's diagnosis that her daughter should be permanently institutionalized for psychiatric care, Rose flees with her child, heading for the abandoned town in search of answers – and ignoring the protests of her husband. It's soon clear this place is unlike anywhere she's ever been. It's smothered by fog, inhabited by a variety of strange beings and periodically overcome by a living 'darkness' that literally transforms everything it touches. As Rose searches for her little girl, she begins to learn the history of the strange town and realizes that her daughter is just a pawn in a larger game.",2006.0,"['Horror', 'Mystery']",6.3,1067.0,Christophe Gans,Radha Mitchell Sean Bean Laurie Holden Deborah Kara Unger Kim Coates,125 minutes
The Exorcism of Emily Rose,"When a younger girl called Emily Rose (Carpenter) dies, everyone puts blame on the exorcism which was performed on her by Father Moore (Wilkinson) prior to her death. The priest is arrested on suspicion of murder. The trail begins with lawyer Erin Bruner (Linney) representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.",2005.0,"['Crime', 'Drama', 'Horror', 'Thriller']",6.3,659.0,Scott Derrickson,Laura Linney Tom Wilkinson Campbell Scott Jennifer Carpenter Kenneth Welsh,122 minutes
Safe,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",2012.0,"['Action', 'Crime', 'Thriller']",6.3,799.0,Boaz Yakin,Jason Statham Chris Sarandon James Hong Catherine Chan Robert John Burke,94 minutes
The Mask of Zorro,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",1998.0,"['Action', 'Adventure']",6.3,1183.0,Martin Campbell,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones Stuart Wilson Diego Sieres,136 minutes
Attack the Block,A teen gang in a grim South London housing estate must team up with the other residents to protect their neighbourhood from a terrifying alien invasion.,2011.0,"['Action', 'Comedy', 'Science', 'Fiction']",6.3,733.0,Joe Cornish,Nick Frost Jodie Whittaker John Boyega Luke Treadaway Flaminia Cinque,88 minutes
Seeking a Friend for the End of the World,"As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",2012.0,"['Comedy', 'Drama', 'Romance', 'Science', 'Fiction']",6.3,700.0,Lorene Scafaria,Steve Carell Keira Knightley Connie Britton Adam Brody Rob Corddry,101 minutes
Burnt,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",2015.0,['Drama'],6.3,950.0,John Wells,Bradley Cooper Sienna Miller Lily James Alicia Vikander Uma Thurman,100 minutes
Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",1995.0,"['Action', 'Drama', 'Science', 'Fiction', 'Thriller']",6.3,513.0,Wolfgang Petersen,Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.,127 minutes
The Ninth Gate,"An all-expenses-paid international search for a rare copy of the book, 'The Nine Gates of the Shadow Kingdom' brings an unscrupulous book dealer deep into a world of murder, double-dealing and satanic worship.",1999.0,"['Horror', 'Mystery', 'Thriller']",6.3,756.0,Roman Polanski,Johnny Depp Frank Langella Lena Olin Emmanuelle Seigner Barbara Jefford,133 minutes
The Man with the Golden Gun,A golden bullet has 007 engraved on it as it smashes into the secret service headquarters. The bullet came from the professional killer Scaramanga who has yet to miss a target and James Bond begins a mission to try and stop him.,1974.0,"['Adventure', 'Action', 'Thriller']",6.3,524.0,Guy Hamilton,Roger Moore Christopher Lee Britt Ekland Maud Adams Herv\u00e9 Villechaize,125 minutes
Magic Mike XXL,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",2015.0,"['Comedy', 'Drama', 'Music']",6.3,706.0,Gregory Jacobs,Channing Tatum Matt Bomer Joe Manganiello Kevin Nash Adam Rodr\u00edguez,115 minutes
Death Becomes Her,"Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot.",1992.0,"['Fantasy', 'Comedy']",6.3,636.0,Robert Zemeckis,Meryl Streep Bruce Willis Goldie Hawn Isabella Rossellini Ian Ogilvy,104 minutes
Australia,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",2008.0,['Drama'],6.3,694.0,Baz Luhrmann,Nicole Kidman Hugh Jackman Essie Davis David Wenham Bryan Brown,165 minutes
We Are Your Friends,"Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",2015.0,"['Drama', 'Music', 'Romance']",6.3,658.0,Max Joseph,Zac Efron Emily Ratajkowski Wes Bentley Nick Rotteveel Alessandro Lindblad,96 minutes
White Chicks,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. As punishment, they are forced to escort a pair of socialites to the Hamptons, where they're going to be used as bait for a kidnapper. But when the girls realize the FBI's plan, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from African-American men into a pair of blonde, white women.",2004.0,['Comedy'],6.3,679.0,Keenen Ivory Wayans,Shawn Wayans Marlon Wayans Jaime King Frankie Faison Maitland Ward,109 minutes
The Naked Gun 33⅓: The Final Insult,"Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he is to find out what top terrorist, Rocco, has planned for when he escapes. Frank's wife, Jane, is desperate for a baby.. this adds to Frank's problems. A host of celebrities at the Academy awards ceremony are humiliated by Frank as he blunders his way trying to foil Rocco.",1994.0,"['Comedy', 'Crime']",6.3,521.0,Peter Segal,Leslie Nielsen Priscilla Presley George Kennedy O.J. Simpson Fred Ward,83 minutes
You've Got Mail,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet – both blissfully unaware that he's putting her out of business.",1998.0,"['Comedy', 'Romance']",6.3,838.0,Nora Ephron,Tom Hanks Meg Ryan Katie Sagona Greg Kinnear Parker Posey,119 minutes
The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,2016.0,"['Action', 'Drama', 'History', 'Thriller']",6.3,588.0,Craig Gillespie,Chris Pine Casey Affleck Ben Foster Eric Bana Holliday Grainger,114 minutes
Idiocracy,"To test its top-secret Human Hibernation Project, the Pentagon picks the most average Americans it can find - an Army private and a prostitute - and sends them to the year 2505 after a series of freak events. But when they arrive, they find a civilization so dumbed-down that they're the smartest people around.",2006.0,"['Adventure', 'Comedy', 'Science', 'Fiction']",6.3,664.0,Mike Judge,Luke Wilson Maya Rudolph Dax Shepard Terry Crews Anthony 'Citric' Campos,84 minutes
The Chronicles of Riddick,"After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.",2004.0,"['Action', 'Science', 'Fiction']",6.3,1570.0,David Twohy,Vin Diesel Thandie Newton Karl Urban Colm Feore Linus Roache,119 minutes
Child's Play,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed with the soul of a serial killer.",1988.0,"['Horror', 'Thriller']",6.3,581.0,Tom Holland,Catherine Hicks Chris Sarandon Alex Vincent Brad Dourif Dinah Manoff,87 minutes
Machete,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",2010.0,"['Action', 'Comedy', 'Thriller']",6.3,1150.0,Robert Rodriguez,Danny Trejo Michelle Rodriguez Jessica Alba Robert De Niro Lindsay Lohan,105 minutes
I Spit on Your Grave,"A remake of the 1979 controversial cult classic, I Spit on Your Grave retells the horrific tale of writer Jennifer Hills who takes a retreat from the city to a charming cabin in the woods to start on her next book. But Jennifer's presence in the small town attracts the attention of a few morally deprived locals led by Johnny, the town's service station owner, his two co-workers, Andy and Stanley, who along with their socially and mentally challenged friend Matthew, set out one night to teach this city girl a lesson.",2010.0,"['Thriller', 'Crime', 'Horror']",6.3,519.0,Steven R. Monroe,Sarah Butler Daniel Franzese Chad Lindberg Jeff Branson Rodney Eastman,108 minutes
For Your Eyes Only,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,1981.0,"['Adventure', 'Action', 'Thriller']",6.3,490.0,John Glen,Roger Moore Carole Bouquet Chaim Topol Lynn-Holly Johnson Julian Glover,127 minutes
The Awakening,1921 England is overwhelmed by the loss and grief of World War I. Hoax exposer Florence Cathcart (Hall) visits a boarding school to explain sightings of a child ghost.,2011.0,"['Horror', 'Thriller']",6.3,458.0,Nick Murphy ,Rebecca Hall Dominic West Imelda Staunton Isaac Hempstead-Wright Lucy Cohu,107 minutes
Wild Things,"When teen-socialite Kelly Van Ryan (Richards) and troubled bad girl Suzie Toller (Campbell) accuse guidance counselor Sam Lombardo (Dillon) of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop (Bacon) suspects conspiracy, but nothing is what it seems...",1998.0,"['Crime', 'Drama', 'Mystery']",6.3,444.0,John McNaughton,Matt Dillon Kevin Bacon Denise Richards Neve Campbell Theresa Russell,108 minutes
Lethal Weapon 4,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang.",1998.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",6.3,767.0,Richard Donner,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li,127 minutes
Flatliners,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.",1990.0,"['Drama', 'Horror', 'Science', 'Fiction', 'Thriller']",6.3,404.0,Joel Schumacher,Kiefer Sutherland Julia Roberts Kevin Bacon William Baldwin Oliver Platt,115 minutes
How to Lose a Guy in 10 Days,"An advice columnist, Andie Anderson (Kate Hudson), tries pushing the boundaries of what she can write about in her new piece about how to get a man to leave you in 10 days. Her editor, Lana (Bebe Neuwirth), loves it, and Andie goes off to find a man she can use for the experiment. Enter executive Ben Berry (Matthew McConaughey), who is so confident in his romantic prowess that he thinks he can make any woman fall in love with him in 10 days. When Andie and Ben meet, their plans backfire.",2003.0,"['Comedy', 'Romance']",6.3,850.0,Donald Petrie,Kate Hudson Matthew McConaughey Kathryn Hahn Annie Parisse Adam Goldberg,116 minutes
The Number 23,"Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize.",2007.0,"['Thriller', 'Drama', 'Mystery']",6.3,1018.0,Joel Schumacher,Jim Carrey Virginia Madsen Logan Lerman Danny Huston Lynn Collins,101 minutes
Act of Valor,"When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",2012.0,"['Action', 'Thriller', 'War']",6.3,417.0,Mike McCoy,Roselyn S\u00e1nchez Emilio Rivera Nestor Serrano Gonzalo Menendez Alexander Asefa,110 minutes
The Spiderwick Chronicles,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",2008.0,"['Adventure', 'Family', 'Fantasy']",6.3,572.0,Mark Waters,Freddie Highmore Mary-Louise Parker Nick Nolte Sarah Bolger Andrew McCarthy,95 minutes
The Grandmaster,"Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. After the Second Sino-Japanese War, Ip Man moves to Hong Kong and struggles to provide for his family. In the mean time, Gong Er chooses the path of vengeance after her father was killed by Ma San.",2013.0,"['Action', 'Drama', 'History']",6.3,273.0,Wong Kar-wai,Tony Leung Chiu-Wai Zhang Ziyi Song Hye-kyo Chang Chen Zhao Benshan,130 minutes
Star Trek: Insurrection,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",1998.0,"['Science', 'Fiction', 'Action', 'Adventure', 'Thriller']",6.3,391.0,Jonathan Frakes,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,103 minutes
Patriot Games,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",1992.0,"['Drama', 'Action', 'Thriller', 'Crime']",6.3,433.0,Phillip Noyce,Harrison Ford Anne Archer Patrick Bergin Thora Birch James Fox,117 minutes
The Craft,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.",1996.0,"['Drama', 'Fantasy', 'Horror', 'Thriller']",6.3,380.0,Andrew Fleming,Robin Tunney Fairuza Balk Neve Campbell Rachel True Skeet Ulrich,101 minutes
Street Kings,"Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career, ultimately leading him to question the loyalties of everyone around him.",2008.0,"['Action', 'Crime', 'Drama', 'Thriller']",6.3,363.0,David Ayer,Keanu Reeves Forest Whitaker Chris Evans Hugh Laurie Martha Higareda,109 minutes
Escape from the Planet of the Apes,"The world is shocked by the appearance of two talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race.",1971.0,"['Action', 'Science', 'Fiction']",6.3,264.0,Don Taylor,Roddy McDowall Kim Hunter Bradford Dillman Natalie Trundy Eric Braeden,98 minutes
Awake,"While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama.",2007.0,"['Thriller', 'Crime', 'Mystery']",6.3,395.0,Joby Harold,Hayden Christensen Jessica Alba Terrence Howard Lena Olin Charlie Hewson,84 minutes
The Pelican Brief,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,1993.0,"['Drama', 'Mystery', 'Thriller', 'Crime']",6.3,371.0,Alan J. Pakula,Julia Roberts Denzel Washington Sam Shepard William Atherton John Lithgow,141 minutes
The Runaways,"Joan Jett and Cherie Currie, two rebellious teenagers from Southern California, become the frontwomen for the Runaways -- the now-legendary group that paved the way for future generations of female rockers. Under the Svengalilike influence of impresario Kim Fowley, the band becomes a huge success.",2010.0,"['Drama', 'Music']",6.3,254.0,Floria Sigismondi,Dakota Fanning Kristen Stewart Michael Shannon Riley Keough Stella Maeve,106 minutes
The Second Best Exotic Marigold Hotel,As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel.,2015.0,"['Drama', 'Comedy']",6.3,272.0,John Madden,Dev Patel Judi Dench Richard Gere Maggie Smith Bill Nighy,122 minutes
Slither,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",2006.0,"['Comedy', 'Horror', 'Science', 'Fiction']",6.3,317.0,James Gunn,Nathan Fillion Don Thompson Elizabeth Banks Gregg Henry Xantha Radley,95 minutes
Mindhunters,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,2004.0,"['Mystery', 'Thriller', 'Crime']",6.3,333.0,Renny Harlin,LL Cool J Jonny Lee Miller Kathryn Morris Patricia Vel\u00e1squez Clifton Collins Jr,106 minutes
The Sisterhood of the Traveling Pants,"Four best friends (Tibby, Lena, Carmen &amp; Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic.",2005.0,"['Drama', 'Comedy']",6.3,386.0,Ken Kwapis,Amber Tamblyn Alexis Bledel America Ferrera Blake Lively Jenna Boyd,119 minutes
The Forbidden Kingdom,"An American teenager who is obsessed with Hong Kong cinema and kung-fu classics makes an extraordinary discovery in a Chinatown pawnshop: the legendary stick weapon of the Chinese sage and warrior, the Monkey King. With the lost relic in hand, the teenager unexpectedly finds himself travelling back to ancient China to join a crew of warriors from martial arts lore on a dangerous quest to free the imprisoned Monkey King.",2008.0,"['Action', 'Adventure', 'Fantasy']",6.3,461.0,Rob Minkoff,Jackie Chan Jet Li Michael Angarano Liu Yifei Li Bingbing,104 minutes
Something's Gotta Give,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",2003.0,"['Drama', 'Comedy', 'Romance']",6.3,410.0,Nancy Meyers,Jack Nicholson Diane Keaton Keanu Reeves Frances McDormand Amanda Peet,128 minutes
Syriana,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.",2005.0,"['Drama', 'Thriller']",6.3,451.0,Stephen Gaghan,George Clooney Matt Damon Jeffrey Wright Chris Cooper Amanda Peet,128 minutes
The Legend of Bagger Vance,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.",2000.0,"['Fantasy', 'Drama']",6.3,251.0,Robert Redford,Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch,126 minutes
Anonymous,"Set against the backdrop of the succession of Queen Elizabeth I, and the Essex Rebellion against her, the story advances the theory that it was in fact Edward De Vere, Earl of Oxford who penned Shakespeare's plays.",2011.0,"['Drama', 'History', 'Thriller']",6.3,288.0,Roland Emmerich,Jamie Campbell Bower Rhys Ifans David Thewlis Joely Richardson Vanessa Redgrave,130 minutes
The Quick and the Dead,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",1995.0,"['Action', 'Western']",6.3,427.0,Sam Raimi,Sharon Stone Gene Hackman Russell Crowe Leonardo DiCaprio Tobin Bell,107 minutes
The Santa Clause,"Scott Calvin is an ordinary man, who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries, they go to the North Pole, where Scott learns he must become the new Santa and convince those he loves that he is indeed, Father Christmas.",1994.0,"['Fantasy', 'Drama', 'Comedy', 'Family']",6.3,489.0,John Pasquin,Tim Allen Judge Reinhold Wendy Crewson David Krumholtz Peter Boyle,97 minutes
Appaloosa,Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.,2008.0,"['Drama', 'Western', 'Crime']",6.3,299.0,Ed Harris,Viggo Mortensen Ed Harris Ren\u00e9e Zellweger Jeremy Irons Timothy Spall,115 minutes
Crocodile Dundee,"When a New York reporter plucks crocodile hunter Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. Dundee proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",1986.0,"['Adventure', 'Comedy']",6.3,503.0,Peter Faiman,Paul Hogan Linda Kozlowski Mark Blum David Gulpilil Michael Lombard,97 minutes
The Wolverine,"Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.",2013.0,"['Action', 'Science', 'Fiction', 'Adventure', 'Fantasy']",6.3,4053.0,James Mangold,Hugh Jackman Hiroyuki Sanada Famke Janssen Will Yun Lee Tao Okamoto,126 minutes
What Lies Beneath,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",2000.0,"['Drama', 'Horror', 'Mystery', 'Thriller']",6.3,488.0,Robert Zemeckis,Harrison Ford Michelle Pfeiffer Diana Scarwid James Remar Miranda Otto,130 minutes
Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.",2000.0,"['Action', 'Adventure', 'Thriller']",6.3,403.0,Clint Eastwood,Clint Eastwood Tommy Lee Jones Donald Sutherland James Garner James Cromwell,130 minutes
My Best Friend's Wedding,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",1997.0,"['Comedy', 'Romance']",6.3,584.0,P.J. Hogan,Julia Roberts Dermot Mulroney Cameron Diaz Rupert Everett Philip Bosco,105 minutes
Funny Games,"When Ann, husband George and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive.",2007.0,"['Horror', 'Thriller', 'Crime']",6.3,545.0,Michael Haneke,Naomi Watts Tim Roth Michael Pitt Brady Corbet Devon Gearhart,112 minutes
Practical Magic,"Sally and Gillian Owens, born into a magical family, have mostly avoided witchcraft themselves. But when Gillian's vicious boyfriend, Jimmy Angelov, dies unexpectedly, the Owens sisters give themselves a crash course in hard magic. With policeman Gary Hallet growing suspicious, the girls struggle to resurrect Angelov -- and unwittingly inject his corpse with an evil spirit that threatens to end their family line.",1998.0,"['Drama', 'Fantasy', 'Comedy']",6.3,338.0,Griffin Dunne,Sandra Bullock Nicole Kidman Evan Rachel Wood Goran Visnjic Stockard Channing,104 minutes
The Debt,"Rachel Singer is a former Mossad agent who tried to capture a notorious Nazi war criminal – the Surgeon of Birkenau – in a secret Israeli mission that ended with his death on the streets of East Berlin. Now, 30 years later, a man claiming to be the doctor has surfaced, and Rachel must return to Eastern Europe to uncover the truth. Overwhelmed by haunting memories of her younger self and her two fellow agents, the still-celebrated heroine must relive the trauma of those events and confront the debt she has incurred.",2010.0,"['Drama', 'Thriller']",6.3,257.0,John Madden,Helen Mirren Ciar\u00e1n Hinds Tom Wilkinson Jessica Chastain Sam Worthington,113 minutes
Shortbus,"A group of New Yorkers caught up in their milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality.. The characters converge in a weekly Brooklyn salon loosely inspired by various underground NYC gatherings that took place in the early 2000's.",2006.0,"['Romance', 'Drama', 'Comedy']",6.3,140.0,John Cameron Mitchell,Sook-Yin Lee Paul Dawson PJ DeBoy Jay Brannan Lindsay Beamish,101 minutes
Titan A.E.,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Dredge are bent on mankind's destruction.",2000.0,"['Animation', 'Action', 'Science', 'Fiction', 'Family', 'Adventure']",6.3,313.0,Gary Goldman,Matt Damon Bill Pullman Drew Barrymore John Leguizamo Nathan Lane,94 minutes
